import time: self [us] | cumulative | imported package
import time:        61 |         61 |                                 org
import time:        38 |         98 |                               org.python
import time:        18 |        115 |                             org.python.core
import time:       912 |       1317 |                           pickle
import time:       190 |        190 |                           rich.errors
import time:        99 |         99 |                             colorsys
import time:       371 |        371 |                                 rich.color_triplet
import time:       199 |        569 |                               rich.palette
import time:       214 |        783 |                             rich._palettes
import time:       160 |        160 |                             rich.terminal_theme
import time:       896 |       1937 |                           rich.color
import time:       673 |       4115 |                         rich.style
import time:       821 |       4936 |                       rich.segment
import time:       172 |       5107 |                     rich.jupyter
import time:        82 |         82 |                       rich.protocol
import time:       272 |        354 |                     rich.measure
import time:       164 |       5624 |                   rich.constrain
import time:       355 |       5978 |                 rich.align
import time:       368 |        368 |                 rich.containers
import time:       305 |        305 |                 rich.control
import time:      2384 |       2384 |                   rich._emoji_codes
import time:       251 |        251 |                   rich._emoji_replace
import time:       277 |       2910 |                 rich.emoji
import time:      1133 |      10956 |               rich.text
import time:       268 |      11223 |             rich.highlighter
import time:      1807 |      23403 |           rich.pretty
import time:       608 |        608 |               _hashlib
import time:        39 |         39 |               _blake2
import time:       264 |        911 |             hashlib
import time:      1560 |       2471 |           atria_registry._utilities
import time:      5325 |       5325 |             annotated_types
import time:       301 |        301 |             pydantic._internal._validators
import time:      4374 |       4374 |             pydantic.types
import time:      1516 |      11515 |           pydantic.fields
import time:       117 |        117 |               email
import time:      1499 |       1499 |               zipfile
import time:       172 |        172 |                   quopri
import time:       442 |        442 |                       calendar
import time:       187 |        629 |                     email._parseaddr
import time:       103 |        103 |                       email.base64mime
import time:       189 |        189 |                       email.quoprimime
import time:       357 |        357 |                       email.errors
import time:       106 |        106 |                       email.encoders
import time:       357 |       1109 |                     email.charset
import time:       330 |       2067 |                   email.utils
import time:       443 |        443 |                     email.header
import time:       312 |        755 |                   email._policybase
import time:       190 |        190 |                   email._encoded_words
import time:       115 |        115 |                   email.iterators
import time:       656 |       3953 |                 email.message
import time:        92 |         92 |                   importlib.metadata._functools
import time:       210 |        302 |                 importlib.metadata._text
import time:       246 |       4499 |               importlib.metadata._adapters
import time:       219 |        219 |               importlib.metadata._meta
import time:       236 |        236 |               importlib.metadata._collections
import time:       103 |        103 |               importlib.metadata._itertools
import time:       514 |        514 |                       tempfile
import time:       222 |        222 |                       importlib.resources.abc
import time:       253 |        253 |                       importlib.resources._adapters
import time:       271 |       1258 |                     importlib.resources._common
import time:       140 |        140 |                     importlib.resources._legacy
import time:       152 |       1550 |                   importlib.resources
import time:        15 |       1564 |                 importlib.resources.abc
import time:       284 |       1848 |               importlib.abc
import time:      1240 |       9757 |             importlib.metadata
import time:       139 |       9895 |           pydantic.plugin._loader
import time:      7745 |     111042 |         atria_registry._module_base
import time:       767 |        767 |         atria_registry._module_builder
import time:       162 |        162 |         atria_registry._module_registry
import time:       219 |        219 |             yaml.error
import time:       243 |        243 |             yaml.tokens
import time:       451 |        451 |             yaml.events
import time:       136 |        136 |             yaml.nodes
import time:      3796 |       3796 |               yaml.reader
import time:       422 |        422 |               yaml.scanner
import time:       247 |        247 |               yaml.parser
import time:       131 |        131 |               yaml.composer
import time:       698 |        698 |               yaml.constructor
import time:      1102 |       1102 |               yaml.resolver
import time:       403 |       6797 |             yaml.loader
import time:       279 |        279 |               yaml.emitter
import time:       188 |        188 |               yaml.serializer
import time:       294 |        294 |               yaml.representer
import time:       232 |        992 |             yaml.dumper
import time:       376 |        376 |               yaml._yaml
import time:       270 |        646 |             yaml.cyaml
import time:       511 |       9991 |           yaml
import time:       153 |        153 |           atria_registry._common
import time:       811 |      10955 |         atria_registry._registry_group
import time:       247 |     123172 |       atria_registry
import time:       136 |        136 |               atria_datasets.core.dataset
import time:        63 |         63 |                 atria_types._base
import time:        41 |         41 |                   gc
import time:       240 |        240 |                   pyarrow._generated_version
import time:       102 |        102 |                           numpy._utils._convertions
import time:       142 |        243 |                         numpy._utils
import time:       276 |        519 |                       numpy._globals
import time:       162 |        162 |                       numpy.exceptions
import time:        83 |         83 |                       numpy.version
import time:        33 |         33 |                         numpy._distributor_init_local
import time:       121 |        153 |                       numpy._distributor_init
import time:       254 |        254 |                                 numpy._utils._inspect
import time:       353 |        353 |                                   numpy.core._exceptions
import time:       243 |        243 |                                   numpy.dtypes
import time:      8623 |       9219 |                                 numpy.core._multiarray_umath
import time:       338 |       9810 |                               numpy.core.overrides
import time:       623 |      10433 |                             numpy.core.multiarray
import time:       178 |        178 |                             numpy.core.umath
import time:       125 |        125 |                               numpy.core._string_helpers
import time:        79 |         79 |                                     pickle5
import time:       336 |        414 |                                   numpy.compat.py3k
import time:       458 |        872 |                                 numpy.compat
import time:       319 |        319 |                                 numpy.core._dtype
import time:       372 |       1562 |                               numpy.core._type_aliases
import time:       414 |       2099 |                             numpy.core.numerictypes
import time:       267 |        267 |                                     numpy.core._ufunc_config
import time:       266 |        533 |                                   numpy.core._methods
import time:      1377 |       1909 |                                 numpy.core.fromnumeric
import time:       376 |       2285 |                               numpy.core.shape_base
import time:       534 |        534 |                               numpy.core.arrayprint
import time:       154 |        154 |                               numpy.core._asarray
import time:      1154 |       4126 |                             numpy.core.numeric
import time:      1327 |       1327 |                             numpy.core.defchararray
import time:       294 |        294 |                             numpy.core.records
import time:       205 |        205 |                             numpy.core.memmap
import time:       211 |        211 |                             numpy.core.function_base
import time:       154 |        154 |                             numpy.core._machar
import time:       326 |        326 |                             numpy.core.getlimits
import time:       474 |        474 |                             numpy.core.einsumfunc
import time:       359 |        359 |                               numpy.core._multiarray_tests
import time:      2043 |       2402 |                             numpy.core._add_newdocs
import time:       350 |        350 |                             numpy.core._add_newdocs_scalars
import time:       128 |        128 |                             numpy.core._dtype_ctypes
import time:      4799 |       4799 |                             numpy.core._internal
import time:       128 |        128 |                             numpy._pytesttester
import time:      1106 |      28732 |                           numpy.core
import time:        50 |      28782 |                         numpy.core._multiarray_umath
import time:       350 |      29131 |                       numpy.__config__
import time:       348 |        348 |                         numpy.lib.mixins
import time:       140 |        140 |                             numpy.lib.ufunclike
import time:       295 |        435 |                           numpy.lib.type_check
import time:       302 |        736 |                         numpy.lib.scimath
import time:       195 |        195 |                                     numpy.lib.stride_tricks
import time:       384 |        578 |                                   numpy.lib.twodim_base
import time:       412 |        412 |                                   numpy.linalg._umath_linalg
import time:       275 |        275 |                                     numpy._typing._nested_sequence
import time:        99 |         99 |                                     numpy._typing._nbit
import time:       969 |        969 |                                     numpy._typing._char_codes
import time:       298 |        298 |                                     numpy._typing._scalars
import time:       137 |        137 |                                     numpy._typing._shape
import time:      1278 |       1278 |                                     numpy._typing._dtype_like
import time:      2122 |       2122 |                                     numpy._typing._array_like
import time:       776 |       5951 |                                   numpy._typing
import time:      1866 |       8806 |                                 numpy.linalg.linalg
import time:       593 |       9399 |                               numpy.linalg
import time:       307 |       9706 |                             numpy.matrixlib.defmatrix
import time:       222 |       9927 |                           numpy.matrixlib
import time:       264 |        264 |                             numpy.lib.histograms
import time:      1435 |       1698 |                           numpy.lib.function_base
import time:       477 |      12101 |                         numpy.lib.index_tricks
import time:       530 |        530 |                         numpy.lib.nanfunctions
import time:       365 |        365 |                         numpy.lib.shape_base
import time:       489 |        489 |                         numpy.lib.polynomial
import time:       768 |        768 |                         numpy.lib.utils
import time:       339 |        339 |                         numpy.lib.arraysetops
import time:       191 |        191 |                           numpy.lib.format
import time:       212 |        212 |                           numpy.lib._datasource
import time:       413 |        413 |                           numpy.lib._iotools
import time:       799 |       1614 |                         numpy.lib.npyio
import time:       173 |        173 |                         numpy.lib.arrayterator
import time:       257 |        257 |                         numpy.lib.arraypad
import time:       182 |        182 |                         numpy.lib._version
import time:       977 |      18872 |                       numpy.lib
import time:       227 |        227 |                           numpy.fft._pocketfft_internal
import time:       541 |        768 |                         numpy.fft._pocketfft
import time:       145 |        145 |                         numpy.fft.helper
import time:       248 |       1159 |                       numpy.fft
import time:       210 |        210 |                           numpy.polynomial.polyutils
import time:       508 |        508 |                           numpy.polynomial._polybase
import time:       626 |       1343 |                         numpy.polynomial.polynomial
import time:       447 |        447 |                         numpy.polynomial.chebyshev
import time:       463 |        463 |                         numpy.polynomial.legendre
import time:       371 |        371 |                         numpy.polynomial.hermite
import time:       350 |        350 |                         numpy.polynomial.hermite_e
import time:       837 |        837 |                         numpy.polynomial.laguerre
import time:       508 |       4316 |                       numpy.polynomial
import time:      1311 |       1311 |                                 backports_abc
import time:      1052 |       2362 |                               numpy.random._common
import time:       574 |        574 |                                 hmac
import time:       250 |        824 |                               secrets
import time:      1458 |       4643 |                             numpy.random.bit_generator
import time:       282 |        282 |                             numpy.random._bounded_integers
import time:       238 |        238 |                             numpy.random._mt19937
import time:      1660 |       6822 |                           numpy.random.mtrand
import time:       358 |        358 |                           numpy.random._philox
import time:       229 |        229 |                           numpy.random._pcg64
import time:       219 |        219 |                           numpy.random._sfc64
import time:      1176 |       1176 |                           numpy.random._generator
import time:       477 |       9279 |                         numpy.random._pickle
import time:       340 |       9619 |                       numpy.random
import time:       440 |        440 |                       numpy.ctypeslib
import time:      3737 |       3737 |                         numpy.ma.core
import time:      1075 |       1075 |                         numpy.ma.extras
import time:       388 |       5199 |                       numpy.ma
import time:      4597 |      74245 |                     numpy
import time:       177 |        177 |                       numpy._core
import time:       270 |        447 |                     numpy._core._multiarray_umath
import time:        92 |         92 |                     cloudpickle
import time:       183 |        183 |                     pyarrow.util
import time:        71 |         71 |                       _queue
import time:       466 |        536 |                     queue
import time:     25809 |     101310 |                   pyarrow.lib
import time:       232 |        232 |                   pyarrow.ipc
import time:       738 |        738 |                   pyarrow.types
import time:       546 |     103105 |                 pyarrow
import time:       103 |        103 |                   atria_types._base._ops
import time:       246 |        348 |                 atria_types._base._ops._table_serialization_utils
import time:       743 |     104257 |               atria_types._base._data_model
import time:       110 |        110 |               atria_types._data_instance._exceptions
import time:        71 |         71 |                 atria_types._data_instance._visualizers
import time:        61 |         61 |                   atria_types._generic
import time:       173 |        173 |                             PIL._version
import time:       193 |        366 |                           PIL
import time:      2646 |       2646 |                             PIL.ExifTags
import time:       325 |        325 |                             PIL.ImageMode
import time:       535 |        535 |                             PIL.TiffTags
import time:       116 |        116 |                             PIL._binary
import time:        98 |         98 |                             PIL._deprecate
import time:       103 |        103 |                             PIL._util
import time:        73 |         73 |                             defusedxml
import time:      1346 |       1346 |                             PIL._imaging
import time:      1905 |       7144 |                           PIL.Image
import time:       189 |       7698 |                         atria_types._utilities._image_encoding
import time:       664 |       8361 |                       atria_types._pydantic
import time:      1529 |       9889 |                     atria_types._generic._bounding_box
import time:       539 |        539 |                     atria_types._generic._label
import time:       805 |      11232 |                   atria_types._generic._annotated_object
import time:      1274 |       1274 |                   atria_types._generic._qa_pair
import time:      4272 |      16837 |                 atria_types._generic._annotations
import time:       243 |      17150 |               atria_types._data_instance._visualizers._base
import time:       800 |        800 |               atria_types._common
import time:       176 |        176 |               atria_datasets.core.constants
import time:        71 |         71 |                 atria_datasets.core.storage
import time:       103 |        103 |                 atria_datasets.core.utilities
import time:       453 |        626 |               atria_datasets.core.storage.utilities
import time:     17971 |     141223 |             atria_datasets.core.dataset._common
import time:       180 |        180 |                     PIL.ImageColor
import time:       227 |        227 |                         PIL._typing
import time:      1199 |       1199 |                         PIL._imagingft
import time:       687 |       2112 |                       PIL.ImageFont
import time:       183 |       2295 |                     PIL.ImageText
import time:       399 |       2873 |                   PIL.ImageDraw
import time:       122 |       2994 |                 atria_types._utilities._viz
import time:       108 |       3102 |               atria_types._data_instance._visualizers._document
import time:      3250 |       3250 |               atria_types._generic._doc_content
import time:      1163 |       1163 |               atria_types._generic._image
import time:       639 |        639 |                           http
import time:       856 |        856 |                             email.feedparser
import time:       247 |       1103 |                           email.parser
import time:      1022 |       2762 |                         http.client
import time:       818 |       3580 |                       urllib3.exceptions
import time:       313 |        313 |                               urllib3.util.timeout
import time:       270 |        583 |                             urllib3.util.connection
import time:        96 |         96 |                               urllib3.util.util
import time:        77 |         77 |                               brotlicffi
import time:        60 |         60 |                               brotli
import time:        59 |         59 |                               backports
import time:       709 |        999 |                             urllib3.util.request
import time:       171 |        171 |                             urllib3.util.response
import time:       549 |        549 |                             urllib3.util.retry
import time:      9861 |       9861 |                               urllib3.util.url
import time:       298 |        298 |                               urllib3.util.ssltransport
import time:       375 |      10533 |                             urllib3.util.ssl_
import time:       117 |        117 |                             urllib3.util.wait
import time:       349 |      13297 |                           urllib3.util
import time:        21 |      13317 |                         urllib3.util.connection
import time:       640 |      13957 |                       urllib3._base_connection
import time:       606 |        606 |                       urllib3._collections
import time:       105 |        105 |                       urllib3._version
import time:       420 |        420 |                                 _winapi
import time:       379 |        379 |                                 winreg
import time:       287 |       1085 |                               mimetypes
import time:       186 |       1270 |                             urllib3.fields
import time:       237 |       1507 |                           urllib3.filepost
import time:        63 |         63 |                             brotlicffi
import time:        60 |         60 |                             brotli
import time:       156 |        156 |                               urllib3.http2
import time:       164 |        164 |                               urllib3.http2.probe
import time:       124 |        124 |                               urllib3.util.ssl_match_hostname
import time:       795 |       1238 |                             urllib3.connection
import time:        66 |         66 |                             backports
import time:       775 |       2200 |                           urllib3.response
import time:       241 |       3947 |                         urllib3._request_methods
import time:        95 |         95 |                         urllib3.util.proxy
import time:       482 |       4522 |                       urllib3.connectionpool
import time:       704 |        704 |                       urllib3.poolmanager
import time:       401 |      23871 |                     urllib3
import time:      1235 |       1235 |                             charset_normalizer.constant
import time:       309 |        309 |                               charset_normalizer.md__mypyc
import time:        57 |         57 |                                 _multibytecodec
import time:       902 |        959 |                               charset_normalizer.utils
import time:       501 |       1767 |                             charset_normalizer.md
import time:       270 |        270 |                             charset_normalizer.models
import time:       259 |       3529 |                           charset_normalizer.cd
import time:       348 |       3876 |                         charset_normalizer.api
import time:       103 |        103 |                         charset_normalizer.legacy
import time:        84 |         84 |                         charset_normalizer.version
import time:        62 |         62 |                         simplejson
import time:       138 |        138 |                               urllib.response
import time:       190 |        327 |                             urllib.error
import time:      1957 |       2284 |                           urllib.request
import time:      2044 |       4328 |                         http.cookiejar
import time:      1035 |       1035 |                         http.cookies
import time:       543 |      10028 |                       requests.compat
import time:       430 |      10457 |                     requests.exceptions
import time:        68 |         68 |                     chardet
import time:       987 |        987 |                           idna.idnadata
import time:       134 |        134 |                           idna.intranges
import time:       498 |       1618 |                         idna.core
import time:        89 |         89 |                         idna.package_data
import time:       185 |       1892 |                       idna
import time:       431 |       2322 |                     requests.packages
import time:       149 |        149 |                           certifi.core
import time:       155 |        303 |                         certifi
import time:        91 |        394 |                       requests.certs
import time:       141 |        141 |                       requests.__version__
import time:       250 |        250 |                       requests._internal_utils
import time:       359 |        359 |                       requests.cookies
import time:       145 |        145 |                       requests.structures
import time:       162 |        162 |                           importlib.resources._itertools
import time:       253 |        414 |                         importlib.resources.readers
import time:       125 |        539 |                       importlib.readers
import time:       599 |       2424 |                     requests.utils
import time:       172 |        172 |                           requests.auth
import time:       275 |        275 |                               stringprep
import time:       204 |        478 |                             encodings.idna
import time:        88 |         88 |                             requests.hooks
import time:       319 |        319 |                             requests.status_codes
import time:       486 |       1370 |                           requests.models
import time:       112 |        112 |                             urllib3.contrib
import time:       420 |        420 |                             socks
import time:       400 |        931 |                           urllib3.contrib.socks
import time:       337 |       2810 |                         requests.adapters
import time:       210 |       3019 |                       requests.sessions
import time:       130 |       3149 |                     requests.api
import time:       363 |      42652 |                   requests
import time:       101 |      42753 |                 atria_types._utilities._url_fetchers
import time:      1176 |      43928 |               atria_types._generic._ocr
import time:       553 |        553 |               atria_types._generic._pdf
import time:        82 |         82 |                 atria_types._utilities._ocr_processors
import time:       569 |        569 |                           bs4._typing
import time:      3084 |       3084 |                             soupsieve.__meta__
import time:       314 |        314 |                               soupsieve.util
import time:      1167 |       1167 |                                   soupsieve.pretty
import time:       534 |       1701 |                                 soupsieve.css_types
import time:      1912 |       3612 |                               soupsieve.css_match
import time:     33684 |      37609 |                             soupsieve.css_parser
import time:       269 |      40961 |                           soupsieve
import time:       222 |      41751 |                         bs4.css
import time:       157 |        157 |                         bs4._deprecation
import time:        76 |         76 |                             cchardet
